x_idx,y_idx,T,qx,qy
22,39,0.562833,5.88702e-06,0.000906529
22,40,0.55738,7.31848e-06,0.000906602
22,41,0.551927,8.70303e-06,0.000906706
22,42,0.546472,1.0045e-05,0.000906839
22,43,0.541017,1.13486e-05,0.000906998
22,44,0.535561,1.26182e-05,0.00090718
22,45,0.530104,1.38581e-05,0.000907384
22,46,0.524645,1.50724e-05,0.000907609
22,47,0.519185,1.62652e-05,0.000907854
22,48,0.513724,1.74407e-05,0.000908119
22,49,0.50826,1.86027e-05,0.000908403
22,50,0.502795,1.97554e-05,0.000908706
22,51,0.497329,2.09023e-05,0.000909031
22,52,0.49186,2.20475e-05,0.000909376
22,53,0.486389,2.31944e-05,0.000909745
22,54,0.480915,2.43469e-05,0.000910139
22,55,0.47544,2.55082e-05,0.00091056
22,56,0.469961,2.6682e-05,0.00091101
22,57,0.46448,2.78714e-05,0.000911492
22,58,0.458996,2.90798e-05,0.00091201
22,59,0.453509,3.031e-05,0.000912568
22,60,0.448018,3.1565e-05,0.00091317
22,61,0.442523,3.28475e-05,0.000913821
22,62,0.437024,3.41599e-05,0.000914526
22,63,0.431521,3.55042e-05,0.00091529
22,64,0.426013,3.68823e-05,0.000916122
22,65,0.4205,3.82954e-05,0.000917027
22,66,0.414981,3.97443e-05,0.000918015
22,67,0.409456,4.1229e-05,0.000919093
22,68,0.403924,4.27491e-05,0.000920272
22,69,0.398385,4.43027e-05,0.000921562
22,70,0.392838,4.58874e-05,0.000922973
22,71,0.387282,4.7499e-05,0.000924519
22,72,0.381716,4.9132e-05,0.000926212
22,73,0.376139,5.07789e-05,0.000928065
22,74,0.370551,5.24304e-05,0.000930093
22,75,0.36495,5.40744e-05,0.000932312
22,76,0.359335,5.56963e-05,0.000934735
22,77,0.353705,5.72782e-05,0.000937378
22,78,0.348058,5.87987e-05,0.000940255
22,79,0.342394,6.02324e-05,0.00094338
22,80,0.336709,6.15498e-05,0.000946765
22,81,0.331004,6.2717e-05,0.000950419
22,82,0.325275,6.36951e-05,0.000954348
22,83,0.319523,6.44409e-05,0.000958554
22,84,0.313744,6.49067e-05,0.000963033
22,85,0.307937,6.50407e-05,0.000967772
22,86,0.302101,6.47884e-05,0.000972751
22,87,0.296235,6.40933e-05,0.00097794
22,88,0.290337,6.28991e-05,0.000983297
22,89,0.284406,6.1152e-05,0.000988768
22,90,0.278442,5.88032e-05,0.000994285
22,91,0.272444,5.58127e-05,0.000999767
22,92,0.266414,5.21526e-05,0.00100512
22,93,0.260353,4.78104e-05,0.00101025
22,94,0.254261,4.27931e-05,0.00101503
22,95,0.248142,3.71293e-05,0.00101936
22,96,0.241999,3.08714e-05,0.00102313
22,97,0.235834,2.40956e-05,0.00102622
22,98,0.229653,1.69003e-05,0.00102856
22,99,0.223461,9.40371e-06,0.00103007
22,100,0.24442,0.0427755,-0.0464955
23,0,0.755665,0.0427575,-0.0465148
23,1,0.776829,-6.92632e-06,0.000994369
23,2,0.770851,-1.25302e-05,0.00099299
